synthetic_case,noise_level,a_true,a_hat,b_true,b_hat,a_relative_error_percent,b_relative_error_percent
3,0.05,2.3772522312928768,2.29345965385437,0.5360541995521902,0.4854131709369158,3.524765960275733,9.446997832976404
4,0.05,2.3030477093235895,2.323890209197998,0.5047891425503104,0.5164685219326948,0.9049964440610764,2.3137144597400594
5,0.05,1.6641996553598015,1.5854556560516357,0.352017195370383,0.3033194794455828,4.731643769697889,13.833902594889375
6,0.05,1.1835078759471587,1.1944379806518555,0.4362289665610578,0.4423767020186611,0.9235345980228022,1.4092909753490188
7,0.05,2.159779698298522,2.097491502761841,0.3072253458721006,0.2825131750280027,2.8840069005997204,8.043662795447117
8,0.05,1.4203629138330292,1.3976891040802002,0.6292145904504862,0.6005281870548969,1.5963391843033137,4.5590810879085515
9,0.05,2.4835468293546636,2.344627857208252,0.22079794428438734,0.18098133818677017,5.593571681614276,18.033051089612254
10,0.05,1.214234671894713,1.1972883939743042,0.5717941923812706,0.5482303176790244,1.395634494110232,4.1210412795752696
11,0.05,1.3790043525055913,1.381259560585022,0.39940847926574263,0.40357610496999885,0.16353886594578743,1.0434494810720647
12,0.05,1.877408614217747,1.8682410717010498,0.6409029737712677,0.6351137102862593,0.48830832282705144,0.9032979595870225
13,0.05,2.0473809456444574,2.1298258304595947,0.5249917689676343,0.5880403585724241,4.026846346818278,12.009443448755611
14,0.05,1.4335939802214481,1.456394910812378,0.17434923615692563,0.1856900510229204,1.590473377086009,6.5046541734127885
15,0.05,2.3225792983522844,2.351213216781616,0.48580640442792933,0.5028541801117815,1.232849980607581,3.5091706343244113
16,0.05,1.49350131692318,1.4887254238128662,0.21841063901481314,0.21589134936028703,0.31977829923529505,1.1534647148554167
17,0.05,1.719456282806417,1.7914903163909912,0.29227043755591264,0.33426729854929654,4.189349523152956,14.369178540456973
18,0.05,1.545256639593128,1.4868110418319702,0.38812865429336285,0.35068788544936125,3.7822583164274066,9.646484079400745
19,0.05,1.573700332099996,1.5571496486663818,0.4080439006285562,0.3978499112738446,1.0517048955266122,2.4982579911153313
0,0.1,1.3662600737180843,1.4174221754074097,0.36566351007322484,0.4153307638719037,3.74468248567748,13.582775538290083
1,0.1,2.361999429002161,2.3218111991882324,0.1546298909105617,0.1459349241060691,1.7014495990333993,5.623082803260723
2,0.1,1.5725776315077185,1.4740657806396484,0.4517122271666607,0.3642812930401507,6.264355342102963,19.355449967541404
3,0.1,2.0555866569775505,2.0273447036743164,0.30857658556498935,0.2916990026403731,1.3739120755317555,5.469495650071507
4,0.1,1.8570464507632862,1.958957314491272,0.2865935957504382,0.3356779076277578,5.48779292440952,17.126799972202292
5,0.1,2.0893178032140822,2.0351979732513428,0.6417085379964688,0.6137580436118012,2.5903110517454415,4.35563697998068
6,0.1,2.0469413377568104,2.154348134994507,0.5891828669054008,0.6673933936727043,5.247184922035954,13.2744061581582
7,0.1,2.0228313072744,1.8823604583740234,0.5937855442440216,0.47716534492973184,6.944269074500816,19.640120990612
8,0.1,1.2141144671096327,1.1880170106887817,0.19946225255241115,0.19116249759878728,2.1495054319696507,4.161065488540497
9,0.1,2.100166039432298,2.110940456390381,0.5883553986323097,0.6165567903758233,0.5130269110053437,4.793257920139865
10,0.1,1.7931873621040708,1.772493839263916,0.5175647137598167,0.5028518223477119,1.1540078453304319,2.8427153206067644
11,0.1,2.0074168422711773,1.9857100248336792,0.5756673247011019,0.5551913806675168,1.0813308417268832,3.5569057257534333
12,0.1,1.619452291296796,1.487684965133667,0.6266027624525945,0.503592138033783,8.136536461819116,19.631356864328833
13,0.1,1.5968908049237194,1.5626411437988281,0.22643856106316798,0.20996953554223666,2.1447716411973015,7.273065790387652
14,0.1,1.5790454706120738,1.6035254001617432,0.21451502859102087,0.22706115595939572,1.5502992159041753,5.848600655525354
15,0.1,1.564375570318557,1.505075454711914,0.5962438448436631,0.5201904500472865,3.7906572265487015,12.755418014640982
16,0.1,1.013871931130885,0.9988716840744019,0.19586183952950334,0.18791714084948719,1.4795011673468184,4.0562769649773545
17,0.1,1.1442880934711162,1.2360377311706543,0.4210395174753596,0.5223746046474363,8.018054039278008,24.067832819993466
18,0.1,1.3477666454989952,1.3973093032836914,0.4222742010206698,0.46756091452922344,3.6759076914500763,10.724480301920432
19,0.1,1.2382742964940026,1.1735403537750244,0.4429806870480274,0.38281012699360334,5.227754698798408,13.583111366636272
0,0.2,1.5187605653295488,1.4549942016601562,0.4598342629849307,0.4111378419517701,4.1985790996328785,10.58999403764665
1,0.2,2.4864714093976934,2.269834041595459,0.6497109546120939,0.46772786321457394,8.712642622128973,28.009854244518923
2,0.2,2.1623620375326293,2.1417343616485596,0.3956287231956831,0.38222825642773584,0.9539418250057264,3.387131919974176
3,0.2,2.2633616551549114,2.1444270610809326,0.5615623049750473,0.4859447944905329,5.254776398773908,13.465560244089826
4,0.2,1.0996953205376214,0.9280208349227905,0.23767325572696094,0.13661537982683736,15.611095401488322,42.51966658639072
5,0.2,1.7365449064336849,1.770029902458191,0.5642734624193929,0.63488004054644,1.9282539657021405,12.512829829762426
6,0.2,0.9123346585629712,0.9333950281143188,0.1505337325113736,0.1581729165615838,2.308403978044639,5.074732369127305
7,0.2,1.5186478582625058,1.3504958152770996,0.23806914958653994,0.17789644159008156,11.072484122671465,25.27530681777193
8,0.2,2.249049940481453,1.9826364517211914,0.5271357574689463,0.36907441846226596,11.845601289904243,29.984939698573136
9,0.2,1.3458455649001535,1.1946425437927246,0.24660416122256526,0.16139910020552517,11.234797294045133,34.55134763121081
10,0.2,1.3452164293799294,1.3449132442474365,0.32286540288131627,0.303003347990002,0.022538018854897965,6.151806515675343
11,0.2,2.370630680927231,2.3780553340911865,0.43948876237512124,0.4388898377167979,0.31319316094616906,0.13627758195376444
12,0.2,1.0730001313943618,1.0379518270492554,0.537453951690664,0.5470321294512251,3.266383975140917,1.7821392382419272
13,0.2,1.5099527975118776,1.4376909732818604,0.20919954158933438,0.17384779207963907,4.7857008741658245,16.89857885974337
14,0.2,1.1643548848534773,1.1923863887786865,0.21981182708956035,0.22998064473766394,2.40747080549559,4.626146728656417
15,0.2,2.429802794152288,2.3265416622161865,0.17019961442108159,0.14633042278260217,4.249774186802978,14.024233673894205
16,0.2,1.3281121146378407,1.3713984489440918,0.2446817458364269,0.2584017795170789,3.259237968629982,5.607297607653986
17,0.2,1.6209952621020327,1.77121102809906,0.37820192895092264,0.48931621995423186,9.266884950806975,29.379620382033522
18,0.2,2.461227640854408,2.619826555252075,0.26818021769177225,0.31018690516270825,6.443894573791242,15.663604061659603
19,0.2,1.5443306616489232,1.428184151649475,0.6228468259122366,0.5028622624101932,7.520831702935649,19.26389579433292
